Прогон через двух агентов, европа и рф.
                            public_key                            |                     address                      |  rating   | valid_cnt | total_cnt | availability_percent 
 99dedb19e91aded4aacc8427252a14d2ed7ed256fa95365250d13d1e0c0c8ea1 | EQAcgSyvyvUEl8B4cPAZLnoAaWKvAkib-2xm5PlyLOvwDj4b | 14.610180 |       337 |       346 |                97.40
 41a9cd79f55b0abe00b68df838384fbebf16ea11d0f24a8a480f907a93bf33c9 | EQDynO7t2vznIrXKu7jynxWR1ayGhC1c1sWSI16vr3KE3OG2 | 14.599018 |       165 |       171 |                96.49
 d0e6b390aa648583f6360b2bab78bf6f49e4e822de9c02c5cdb79f49c81efd2c | EQBGpl22HwUZDhrymsBXzES9ukI1S7wDZzBZzMaGojWtUC6G | 14.593242 |         0 |       477 |                 0.00
 a10d29fcc3f09e2bcf35837771744bf09063cbc31f3f63d8ea5e27381fe44052 | EQDRT4NtxE_1OCEZeslKDO-KeYisJsC5AXOQZZMYi0jjnFPQ | 14.592136 |       414 |       457 |                90.59
 703bc4d28c500aeba66d9e5c0792651e7e07641bd020cf812a976ffc040f829d | EQBnkUL42ufRlDaM8nUYqhwqFfTsYc2v4oxPXK0y3sKw4Z2s | 14.573608 |       195 |       202 |                96.53
 301f36bba3a50681f82e3fd19691a39808c0e2ec9107b280693adb4c482a8f40 | EQB7p0vuZi-_dIRn4oizKzStx0A0br0KAYZUcdONAu_xW4xZ | 14.568704 |       543 |       552 |                98.37
 0f0a094dca1657def0961b80300a4908d0a89f222de504791c9ec30783420181 | EQBO-m4wxJF207zUw2bonnVA6m-pdeaekHCgwtgzKEwh_IeL | 14.556962 |         0 |       486 |                 0.00
 bc0b88cb8df9c7c595f0ec50960489cb5471f935415e2ee3e389466503b2281d | EQBVd18ZQJjtulDpiwiDlaTKXzwNUwfzcITtddlNMlEPxgXl | 14.554773 |       681 |       682 |                99.85
 45866283292b97df6b339537702d69dda3460a74db89e868e478322caa59104a | EQBKgDq3HJXeQJRsr-BeaNsYLFesEAGXVkKw3jEukkfagKuR | 14.535777 |         0 |        70 |                 0.00
 1956fd0785e9c1e9dba467da8e122abee667cd5ed721d964defd656640addf61 | EQBi0850xIt6Z-jYPipX6fKUzpDcn8UZD07EJjA8ug2P-qDu | 14.527320 |         0 |       130 |                 0.00
 cd1bd248e486b7446a141ec2e37949235aa202941f00cf89e0509968402e1cf0 | EQBK5VSPGA7c0CtAcLppta1nEBTab_lqKzRqEuE2vgbmtyPb | 14.457619 |         0 |       920 |                 0.00
 3248d343499f04515738e96c05c52852cb093df2d4519c2b36e0d170761881b8 | EQDZAkoF9HWB5JqR9Npu2Wfzp5LlP2ZJaGwJkKkdMR9CW_zj | 12.976076 |         0 |       382 |                 0.00
 6983ab4c44a6c90cafa2a2a2ed886459f20980a0b6452d0947df07faa6d44d98 | EQBRCo_D17HwpQOpcnBdAWTJt2q_pKkQaWJWOZGOxrhhbZcM | 11.326980 |         0 |         0 |                     
 872cb0255b678d3e94cb60d7e18f8cf45eb99d7742fbd56411e7e8349296fbea | EQDPsy93_5Ieb9CV_Dnao8QerZr3qe7AeTxe7AhkiDWvTtOT | 10.949017 |       152 |       152 |               100.00
 84bc16b8ed3f7e11f2f18cc1668c72f8aa672e5723d1eccca61260efbfa80293 | EQDdexcdIGLrA2nKvNNORsnahFGDd40ItdNripW1bsIWSKBn |  2.946129 |         0 |       429 |                 0.00
 048eecc770a49e81077a85ae46c95b66085d0d6b8200b2c8c1ad90ebc8e62b3c | EQAf6nkDyYODWCqqSPF6e3LuUiaylzR8By3qz596tktuATss |  1.977955 |       169 |       169 |               100.00
 0f40a7b9c0d22294214bfee73a31051189b7728ac006b9264c8e963d18279c34 | EQCeBIT55Uj3k-tJV1aagU3u3Df28SvRDCDKug9dbSJsjS6u |  1.783887 |       425 |       430 |                98.84
 085cd07d69470d56df81f441d5748e34d657c804efefc496c1065123ad5fec02 | EQAHWJ_gHBun5EPnRITZkQln1zNWYPFLzzM1WLXUN3ah2e6v |  1.484134 |       826 |       826 |               100.00
 1310e5f6685568974af3f00f6096cd29c3d0980dc4d88c398ed123392109a045 | EQAQt0_D_AHiwEEuHmnHoAUgyWDhDB3Ok03y4TLyNUsdqM8M |  0.106231 |         0 |       164 |                 0.00
 f6b3e51d1cacb956397e8496d3e239ae0e8ff27c195040e184c790a6968b9efa | EQAqjWR8kT95-RS40Yq8n-f2Zh9mTB4S_-oMIyHcnsjFTKUq |  0.079848 |         0 |         1 |                 0.00
(33 rows)

                            public_key                            |                     address                      |  rating   | valid_cnt | total_cnt | availability_percent 
------------------------------------------------------------------+--------------------------------------------------+-----------+-----------+-----------+----------------------
 7a37d3f16a9375c7b8407fb6126c6dd4a821d55026a4e819d01577631feb73dd | EQChhA0wBsdc7KeBsGI0ErA79RQOIUFhkQWZspUQdRd-HoNv | 17.768679 |         0 |        58 |                 0.00
 0bf99991c3830b5cad00f01d3659dec9e9ae353f0925a555a5b5a30d96eb4e5a | EQDuksozsgnxnpvRf0KvVRdn_CjprQJgvyDG4rZ1AmgdJKN_ | 17.728525 |         1 |         8 |                12.50
 3d11c40a1fe54d2b69cf1f8280ce7294ae4c1c7c98ddcc73653a3cf35a1b65af | EQBNGHnsFuldhjv9-3LPewyDmKLAhx3PE4m2sa42pSFCWrYx | 17.583283 |       269 |       273 |                98.53
 516a32d046c4a2187088143edf278a6be1a119dc691bb7bd21dd81ed26a26a34 | EQAEG-63fMkmNJ0s-w5ZlHlLwtNuJfF1zG_0Yr-tiCTuyCZv | 17.573846 |       358 |       364 |                98.35
 7f41f5e1ca22563d01cc9106d8ed14c76ae643aeac9a51f889d1301577556b63 | EQAdanpgtJl6UE8XjL6i_67QITE8wWvhSMg31muGSXyeXUtt | 17.571842 |       314 |       330 |                95.15
 6f6053b4435ffd17bb1368d85ac3573b6fee2d62bb12629f1ddd36cbd7eb692d | EQAGozDJFCa2rE1tMWXCHBXXy9sQLR8RmSyB_nj2qtq8y4ls | 17.518465 |         0 |       283 |                 0.00
